No._Base	ToneName_freemidi	MSB	LSB	PC_0Origin	Category	Bank	PC	No.	ToneName	remove_left1	head_suff
020+	*Church Org2	8	1	19	Organ	SC-55	20	020+	"Church Org2	Church Org2	"
020+	*Church Org3	16	1	19	Organ	SC-55	20	020+	"Church Org3	Church Org3	"
21	*Reed Organ	0	1	20	Organ	SC-55	21	021	"Reed Organ	Reed Organ	"
22	*Accordion F	0	1	21	Organ	SC-55	22	022	"Accordion F	Accordion F	"
022+	*Accordion I	8	1	21	Organ	SC-55	22	022+	"Accordion I	Accordion I	"
23	*Harmonica	0	1	22	Organ	SC-55	23	023	"Harmonica	Harmonica	"
24	*Bandoneon	0	1	23	Organ	SC-55	24	024	"Bandoneon	Bandoneon	"
38	#Organ 1	126	1	37	Organ	CM-64	38	038	#"Organ 1	Organ 1	#"
39	#Organ 1	126	1	38	Organ	CM-64	39	039	#"Organ 1	Organ 1	#"
40	#Organ 1	126	1	39	Organ	CM-64	40	040	#"Organ 1	Organ 1	#"
41	#Organ 2	126	1	40	Organ	CM-64	41	041	#"Organ 2	Organ 2	#"
42	#Organ 1	126	1	41	Organ	CM-64	42	042	#"Organ 1	Organ 1	#"
43	#Organ 1	126	1	42	Organ	CM-64	43	043	#"Organ 1	Organ 1	#"
44	#Organ 2	126	1	43	Organ	CM-64	44	044	#"Organ 2	Organ 2	#"
45	#Organ 2	126	1	44	Organ	CM-64	45	045	#"Organ 2	Organ 2	#"
46	#Organ 2	126	1	45	Organ	CM-64	46	046	#"Organ 2	Organ 2	#"
9	#Elec Org 1	127	1	8	Organ	CM-64	9	009	#"Elec Org 1	Elec Org 1	#"
10	#Elec Org 2	127	1	9	Organ	CM-64	10	010	#"Elec Org 2	Elec Org 2	#"
11	#Elec Org 3	127	1	10	Organ	CM-64	11	011	#"Elec Org 3	Elec Org 3	#"
12	#Elec Org 4	127	1	11	Organ	CM-64	12	012	#"Elec Org 4	Elec Org 4	#"
